Weeks Charted,Weeks Top 40,Weeks Top 10,Weeks at Peak,Highest Chart,Artist,Album,Track,Time
6,3,1,1,10,Madonna,MDNA,Give Me All Your Luvin',3:22:00
2,1,0,1,26,Glee Cast,s,Smooth Criminal,3:34:00
1,0,0,1,56,Glee Cast,s,Human Nature,3:24:00
1,0,0,1,64,Glee Cast,s,Black Or White,3:16:00
1,0,0,1,78,Glee Cast,s,Wanna Be Startin' Somethin',3:27:00
1,0,0,1,80,Glee Cast,s,Bad,3:25:00
8,0,0,2,81,Melanie Fiona,s,4 AM,4:51:00
42,33,22,6,1,Fun.,Some Nights,We Are Young,4:09:00
3,3,2,1,3,Whitney Houston,The Bodyguard OST,I Will Always Love You,4:32:00
2,2,0,1,25,Whitney Houston,Whitney,I Wanna Dance With Somebody,4:49:00
2,1,0,1,36,Whitney Houston,Whitney Houston,Greatest Love Of All,4:48:00
2,0,0,1,51,Meek Mill,"MMG Presents: Self Made, Vol. 1",Ima Boss,5:13:00
1,0,0,1,80,Lindsey Pavao,s,Say Aah,2:57:00
1,0,0,1,81,Glee Cast,s,Sexy And I Know It,3:17:00
20,6,0,1,29,Kip Moore,Somethin' 'Bout A Truck,Somethin' 'Bout A Truck,3:36:00
26,23,0,4,12,Calvin Harris,Feel So Close,Feel So Close,3:27:00
22,10,0,4,28,Kirko Bangz,s,Drank In My Cup,3:52:00
1,0,0,1,99,Glee Cast,s,La Isla Bonita,3:14:00
1,0,0,1,100,YG,s,Snitches Ain't�,3:40:00
26,9,0,1,31,Christina Perri,Twilight Saga: Breaking Dawn � Part 1 soundtrack,A Thousand Years,4:45:00
18,0,0,1,42,"Fray, The",s,Heartbeat,3:39:00
22,20,9,1,1,Katy Perry,s,Part Of Me,3:35:00
31,30,21,4,5,Nicki Minaj,s,Starships,3:30:00
20,9,1,1,10,Chris Brown,s,Turn Up The Music,3:49:00
34,31,13,2,4,One Direction,Up All Night,What Makes You Beautiful,3:19:00
1,0,0,1,49,Whitney Houston,Whitney Houston,How Will I Know,4:34:00
1,0,0,1,50,Bruno Mars,Doo-Wops & Hooligans (Deluxe Version),Runaway Baby,2:27:00
17,0,0,1,51,Rascal Flatts,s,Banjo,4:17:00
3,0,0,1,72,Wiz Khalifa,Rolling Papers (Deluxe Version),When I'm Gone,4:08:00
1,0,0,1,87,Glee Cast,s,I Will Always Love You,4:28:00
14,0,0,1,44,David Guetta,Nothing But The Beat,I Can Only Imagine,3:29:00
1,0,0,1,92,Glee Cast,s,Stereo Hearts,3:31:00
20,0,0,1,72,Skrillex,Bangarang EP,Bangarang,3:35:00
1,0,0,1,100,deadmau5,4x4=12 (Deluxe Version),Raise Your Weapon,8:22:00
18,10,0,1,11,B.o.B,s,So Good,3:33:00
20,17,0,1,18,Carrie Underwood,s,Good Girl,3:24:00
43,40,23,9,1,Carly Rae Jepsen,Kiss (Deluxe),Call Me Maybe,3:13:00
1,0,0,1,56,Glee Cast,s,Fly / I Believe I Can Fly,3:33:00
43,26,19,6,3,Fun.,Some Nights,Some Nights,4:37:00
20,12,0,4,24,Rihanna,Talk That Talk (Deluxe Edition),Birthday Cake,3:40:00
1,0,0,1,65,Glee Cast,s,Cough Syrup,4:11:00
1,0,0,1,66,Glee Cast,s,What Doesn't Kill You (Stronger),3:41:00
1,0,0,1,73,Glee Cast,s,Here's To Us,3:00:00
1,0,0,1,74,Tyga,Careless World - Rise Of The Last King,Mutha***** Up,3:53:00
20,13,0,1,17,Usher,s,Climax,3:53:00
1,0,0,1,90,Glee Cast,s,Glad You Came,3:14:00
2,0,0,1,91,Tyga,Careless World - Rise Of The Last King,Make It Nasty,3:08:00
20,7,0,1,32,Jason Aldean,My Kinda Party,Fly Over States,3:38:00
3,0,0,1,95,Young The Giant,Young The Giant,Cough Syrup,4:09:00
1,1,0,1,21,Far*East Movement,s,Live My Life,3:59:00
1,0,0,1,70,Nicki Minaj,Pink Friday (Deluxe Version),Roman Reloaded,3:15:00
22,16,0,3,19,Eric Church,Chief,Springsteen,4:23:00
19,0,0,2,53,Travis Porter,s,Ayy Ladies,3:33:00
20,0,0,1,46,LoveRance,,Up!,4:10:00
20,0,0,1,46,LoveRance,,Up!,3:51:00
9,0,0,1,69,Future,s,Magic,3:31:00
1,0,0,1,100,Estelle,All Of Me (Deluxe Version),Thank You,4:12:00
27,13,0,4,16,Adele,21,Rumour Has It,3:43:00
24,0,0,1,49,Brantley Gilbert,Halfway To Heaven (Deluxe Version),You Don't Know Her Like I Do,4:46:00
3,0,0,1,42,John Mayer,s,Shadow Days,3:53:00
20,0,0,1,72,M83.,"Hurry Up, We're Dreaming",Midnight City,4:03:00
22,14,0,1,16,Karmin,s,Brokenhearted,3:48:00
16,0,0,1,50,Zac Brown Band,You Get What You Give (Deluxe Version),No Hurry,3:46:00
6,0,0,1,80,Trey Songz,Inevitable,Sex Ain't Better Than Love,4:23:00
23,19,0,4,16,Luke Bryan,Tailgates & Tanlines,Drunk On You,3:33:00
34,26,4,1,7,Drake,Take Care (Deluxe Version),Take Care,4:37:00
1,0,0,1,73,Rascal Flatts,Changed (Deluxe Edition),Changed,4:17:00
39,28,3,1,6,Neon Trees,s,Everybody Talks,2:59:00
20,3,0,2,39,One Direction,Up All Night,One Thing,3:17:00
20,7,0,1,29,Eli Young Band,Life At Best (Deluxe Version),Even If It Breaks Your Heart,3:40:00
20,0,0,1,51,Young Jeezy,TM:103 Hustlerz Ambition (Deluxe Version),Leave You Alone,5:29:00
2,0,0,1,97,Bella Thorne,Shake It Up: Live 2 Dance,TTYLXOX,2:33:00
13,8,0,1,19,Taylor Swift,The Hunger Games (Songs From District 12 & Beyond),Eyes Open,4:04:00
