Weeks Charted,Weeks Top 40,Weeks Top 10,Weeks at Peak,Highest Chart,Artist,Album,Track,Time
11,0,0,1,57,Randy Houser,s,How Country Feels,3:07:00
9,5,2,1,3,Taylor Swift,Red,I Knew You Were Trouble,3:39:00
10,0,0,1,47,Ellie Goulding,Halcyon (Deluxe Version),Anything Could Happen,4:46:00
10,0,0,1,72,Kenny Chesney,Welcome To The Fishbowl,El Cerrito Place,5:52:00
10,0,0,1,48,Zac Brown Band,Uncaged,Goodbye In Her Eyes,5:24:00
1,1,0,1,13,Taylor Swift,Red,State Of Grace,4:55:00
9,0,0,1,50,T.I.,s,Ball,3:25:00
8,0,0,1,49,Kelly Clarkson,s,Catch My Breath,4:11:00
1,0,0,1,92,Jason Aldean,Night Train,Night Train,3:52:00
6,1,0,1,33,Calvin Harris,18 Months,Sweet Nothing,3:33:00
9,0,0,1,78,Bridgit Mendler,Hello My Name Is�(Deluxe Version),Ready Or Not,3:20:00
1,0,0,1,44,Taylor Swift,Red,22,3:52:00
1,0,0,1,65,Taylor Swift,Red,I Almost Do,4:04:00
1,0,0,1,67,Taylor Swift,Red,Everything Has Changed,4:05:00
8,0,0,1,76,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",Poetic Justice,5:00:00
1,0,0,1,80,Taylor Swift,Red,All Too Well,5:29:00
1,0,0,1,91,Taylor Swift,Red,Stay Stay Stay,3:25:00
1,0,0,1,92,Sam Palladio,s,Fade Into You,3:01:00
1,0,0,1,94,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",m.A.A.d city,5:50:00
7,0,0,1,88,Meek Mill,Dreams and Nightmares,Young & Getting' It,3:27:00
7,1,0,1,40,"Band Perry, The",s,Better Dig Two,3:11:00
7,1,0,1,32,ASAP Rocky,s,F**kin Problems,3:57:00
7,0,0,1,68,Chris Brown,Fortune (Deluxe Version),Don't Judge Me,4:00:00
7,0,0,1,61,"Weeknd, The",Trilogy,Wicked Games,5:25:00
2,0,0,1,89,Kelly Clarkson,s,Don't Rush,4:02:00
1,0,0,1,98,Thompson Square,s,If I Didn't Have You,3:24:00
4,0,0,1,84,Dierks Bentley,Home,Tip It On Back,3:26:00
4,0,0,1,72,Ludacris,s,Rest Of My Life,3:52:00
6,0,0,1,60,Jason Aldean,Night Train,The Only Way I Know,3:13:00
2,0,0,1,89,"Wanted, The",s,I Found You,3:59:00
6,0,0,1,66,Little Big Town,Tornado,Tornado,3:43:00
5,0,0,1,41,One Direction,Take Me Home,Little Things,3:39:00
3,0,0,1,53,Christina Perri,The Twilight Saga: Breaking Dawn Pt. 2,A Thousand Years (Part 2),5:07:00
2,0,0,1,71,Christina Aguilera,Lotus (Deluxe Version),Just A Fool,4:13:00
1,0,0,1,95,One Direction,Take Me Home,Kiss You,3:02:00
5,0,0,1,42,2 Chainz,Based On A T.R.U. Story,I'm Different,3:27:00
1,1,0,1,25,Cassadee Pope,s,Over You,3:35:00
1,0,0,1,86,Melanie Martinez,s,Seven Nation Army,2:55:00
2,0,0,1,94,George Strait,s,Give It All We've Got Tonight,4:11:00
1,0,0,1,95,Grace Potter,The Lion The Beast The Beat,Stars,3:35:00
1,0,0,1,97,Amanda Brown,s,Stars,3:26:00
4,0,0,1,63,Wiz Khalifa,O.N.I.F.C. (Deluxe Version),Remember You,4:50:00
4,0,0,1,73,Hunter Hayes,Hunter Hayes,Somebody's Heartbreak,3:47:00
3,3,0,1,12,will.i.am,s,Scream & Shout,4:44:00
3,1,0,1,27,50 Cent,s,My Life,3:59:00
1,0,0,1,94,Melanie Martinez,s,Too Close,3:26:00
1,0,0,1,95,Cassadee Pope,s,Are You Happy Now?,3:49:00
3,0,0,1,79,Tim McGraw,s,One Of Those Nights,3:42:00
3,0,0,1,97,Ludacris,s,Representin',4:05:00
1,0,0,1,99,Cher Lloyd,Sticks & Stones,Oath,3:38:00
2,2,0,1,25,Mariah Carey,Merry Christmas,All I Want For Christmas Is You,4:01:00
2,0,0,1,57,Tamar Braxton,s,Love And War,4:01:00
1,0,0,1,69,Bruno Mars,Unorthodox Jukebox,When I Was Your Man,3:33:00
2,0,0,1,58,Maroon 5,Overexposed (Deluxe Edition),Daylight,3:46:00
1,0,0,1,84,Terry McDermott,The Complete Season 3 Collection,I Want To Know What Love Is,3:40:00
2,0,0,1,81,"Lumineers, The",The Lumineers,Stubborn Love,4:39:00
1,0,0,1,87,Wiz Khalifa,O.N.I.F.C. (Deluxe Version),Let It Go,4:18:00
1,0,0,1,96,Nicholas David,s,Somewhere Over The Rainbow,3:28:00
2,0,0,1,91,Future,Pluto 3D,Neva End,4:21:00
1,1,0,1,40,Cassadee Pope,The Complete Season 3 Collection,Stupid Boy,3:39:00
1,0,0,1,70,Terry McDermott,The Complete Season 3 Collection,Let It Be,3:54:00
1,0,0,1,82,Chief Keef,Finally Rich (Deluxe),Love Sosa,4:06:00
1,0,0,1,88,Kacey Musgraves,s,Merry Go 'Round,3:27:00
1,0,0,1,89,Big Sean,s,Guap,4:31:00
1,0,0,1,90,Carrie Underwood,Blown Away,Two Black Cadillacs,4:58:00
1,0,0,1,93,Jonn Hart,s,Who Booty,3:09:00
1,0,0,1,96,Trinidad James,Don't Be S.A.F.E.,All Gold Everything,3:07:00
