"Name","Size","State","Sector","Urbanization","Total Enrollment","Percent Admitted (Total)","Graduation Rate","Tuition","Total Price (In-State)","Total Price (Out-of-State)"
"SUM Bible College and Theological Seminary",750,"California","Private not-for-profit- 4-year or above","City: Large",307,54,67,9120,20924,20924
"University of Phoenix-Northwest Indiana Campus",750,"Indiana","Private for-profit- 4-year or above","Rural: Fringe",,,0,9859,,
"Westwood College-Annandale",750,"Virginia","Private for-profit- 4-year or above","Suburb: Large",442,58,,15291,,
"Argosy University-Denver",750,"Colorado","Private for-profit- 4-year or above","City: Large",485,,,12612,,
"University of South Florida-St. Petersburg Campus",2500,"Florida","Public- 4-year or above","City: Midsize",4310,46,30,5200,19990,29180
"DeVry University-Utah",750,"Utah","Private for-profit- 4-year or above","Suburb: Large",170,88,,15188,,
"Strayer University-Florida",2500,"Florida","Private for-profit- 4-year or above","Suburb: Large",3760,,,14805,,
"American Public University System",35000,"West Virginia","Private for-profit- 4-year or above","Town: Distant",50838,,,6000,,
"Averett University-Non-Traditional Programs",2500,"Virginia","Private not-for-profit- 4-year or above","City: Small",1667,100,71,8520,,
"The Art Institute of Charleston",750,"South Carolina","Private for-profit- 4-year or above","City: Midsize",804,47,,17796,33360,33360
"Strayer University-Delaware",750,"Delaware","Private for-profit- 4-year or above","Suburb: Large",422,,,14805,,
"Strayer University-Alabama",2500,"Alabama","Private for-profit- 4-year or above","City: Midsize",1116,,,14625,,
"University of Phoenix-Washington DC Campus",750,"District of Columbia","Private for-profit- 4-year or above","City: Large",173,,,9859,,
"University of Phoenix-Chattanooga Campus",750,"Tennessee","Private for-profit- 4-year or above","City: Midsize",558,,,10858,,
"Argosy University-Inland Empire",750,"California","Private for-profit- 4-year or above","City: Midsize",733,,,12612,,
"Argosy University-Nashville",750,"Tennessee","Private for-profit- 4-year or above","City: Large",562,,,12612,,
"Argosy University-San Diego",750,"California","Private for-profit- 4-year or above","City: Large",439,,,12612,,
"Columbia Southern University",15000,"Alabama","Private for-profit- 4-year or above","Rural: Distant",17459,,39,4895,,
"Trident University International",8000,"California","Private for-profit- 4-year or above","Suburb: Large",5699,,72,6120,,
"The Art Institute of Austin",2500,"Texas","Private for-profit- 4-year or above","City: Small",1694,45,,17768,30232,30232
"Strayer University-North Carolina",8000,"North Carolina","Private for-profit- 4-year or above","Rural: Fringe",5043,,0,14805,,
"The Kingâs College",750,"New York","Private not-for-profit- 4-year or above","City: Large",465,67,51,29240,53990,53990
"Chamberlain College of Nursing-Illinois",2500,"Illinois","Private for-profit- 4-year or above","Suburb: Large",2701,73,,16100,,
"Chamberlain College of Nursing-Ohio",750,"Ohio","Private for-profit- 4-year or above","City: Large",610,85,,16490,,
"Chamberlain College of Nursing-Arizona",750,"Arizona","Private for-profit- 4-year or above","City: Large",406,75,,16100,,
"Taft University System",750,"California","Private for-profit- 4-year or above","City: Large",362,,,7395,,
"Aspen University",2500,"Colorado","Private for-profit- 4-year or above","Suburb: Large",1046,,,,,
"Providence Christian College",750,"California","Private not-for-profit- 4-year or above","City: Midsize",71,50,57,21444,35284,35284
"Argosy University-Phoenix Online Division",15000,"Arizona","Private for-profit- 4-year or above","City: Large",13863,,,19812,,
"Strayer University-West Virginia",750,"West Virginia","Private for-profit- 4-year or above","Suburb: Midsize",261,,,14805,,
"Strayer University-Ohio",2500,"Ohio","Private for-profit- 4-year or above","Suburb: Large",1122,,,14805,,
"University of Minnesota-Rochester",750,"Minnesota","Public- 4-year or above","City: Midsize",273,67,,12692,21826,21826
"Strayer University-Arkansas",750,"Arkansas","Private for-profit- 4-year or above","City: Midsize",224,,,14805,,
"Strayer University-Georgia",8000,"Georgia","Private for-profit- 4-year or above","Suburb: Large",6566,,0,14805,,
"Strayer University-Texas",750,"Texas","Private for-profit- 4-year or above","City: Large",883,,,14805,,
"The Art Institute of San Antonio",750,"Texas","Private for-profit- 4-year or above","City: Large",572,57,,17868,32952,32952
"South UniversityâRichmond",750,"Virginia","Private for-profit- 4-year or above","Suburb: Large",559,74,,15910,,
"South UniversityâVirginia Beach",750,"Virginia","Private for-profit- 4-year or above","City: Large",437,59,,15910,,
"Touro College Los Angeles",750,"California","Private not-for-profit- 4-year or above","Suburb: Large",175,43,50,15900,,
"California University of Management and Sciences","Not reported","California","Private not-for-profit- 4-year or above","City: Large",,,,7510,,
"Remington College",750,"Florida","Private not-for-profit- 4-year or above","City: Large",157,50,,14250,,
"Chamberlain College of Nursing-Virginia",750,"Virginia","Private for-profit- 4-year or above","City: Midsize",219,60,,16100,,
"Carolina Bible College",750,"North Carolina","Private not-for-profit- 4-year or above","City: Midsize",88,,,4725,,
"Mesivta Keser Torah",750,"New Jersey","Private not-for-profit- 4-year or above","Suburb: Large",38,100,5,13500,,
"John Paul the Great Catholic University",750,"California","Private not-for-profit- 4-year or above","City: Large",169,,,22200,39036,39036
"ITT Technical Institute-Durham",750,"North Carolina","Private for-profit- 4-year or above","City: Midsize",61,61,,18048,,
"University of Phoenix-Delaware",750,"Delaware","Private for-profit- 4-year or above","City: Small",17,,,9859,,
"National American University-Tulsa",750,"Oklahoma","Private for-profit- 4-year or above","City: Large",121,,,12792,,
"National American University-Lee's Summit",750,"Missouri","Private for-profit- 4-year or above","Suburb: Small",334,,,12792,,
"National American University-Colorado Springs South",750,"Colorado","Private for-profit- 4-year or above","City: Large",103,,,13238,,
"South University-Novi",750,"Michigan","Private for-profit- 4-year or above","Rural: Fringe",154,54,,15910,,
"University of Phoenix-Knoxville",750,"Tennessee","Private for-profit- 4-year or above","City: Midsize",57,,,9869,,
"University of Phoenix-Baton Rouge",750,"Louisiana","Private for-profit- 4-year or above","City: Midsize",677,,,9859,,
"University of Phoenix-Lafayette",750,"Louisiana","Private for-profit- 4-year or above","City: Midsize",321,,,9859,,
"South UniversityâSavannah Online",35000,"Georgia","Private for-profit- 4-year or above","City: Midsize",22544,68,8,13567,,
"California State University-Monterey Bay",8000,"California","Public- 4-year or above","Rural: Fringe",5173,52,38,5963,19833,30993
"The College of Saint Thomas More",750,"Texas","Private not-for-profit- 4-year or above","City: Large",16,100,33,12800,19700,19700
"The Art Institute of Phoenix",2500,"Arizona","Private for-profit- 4-year or above","City: Large",1190,42,52,17616,32808,32808
"DeVry University-Indiana",750,"Indiana","Private for-profit- 4-year or above","City: Large",438,95,25,15188,,
"University of Phoenix-Oklahoma City Campus",750,"Oklahoma","Private for-profit- 4-year or above","City: Large",701,,14,9859,,
"American InterContinental University-Atlanta",2500,"Georgia","Private for-profit- 4-year or above","City: Small",1727,97,16,16691,,
"DeVry University-Maryland",750,"Maryland","Private for-profit- 4-year or above","City: Small",130,79,,15188,,
"University of Phoenix-Chicago Campus",2500,"Illinois","Private for-profit- 4-year or above","City: Small",1485,,22,10858,,
"Potomac College-Herndon",750,"Virginia","Private for-profit- 4-year or above","Suburb: Large",31,,25,11680,,
"Strayer University-Pennsylvania",2500,"Pennsylvania","Private for-profit- 4-year or above","Suburb: Large",3074,,26,14805,,
"University of Phoenix-Memphis Campus",2500,"Tennessee","Private for-profit- 4-year or above","City: Large",1359,,15,10858,,
"DeVry University-Oregon",750,"Oregon","Private for-profit- 4-year or above","Suburb: Large",220,100,0,15188,,
"Jones International University",2500,"Colorado","Private for-profit- 4-year or above","Suburb: Large",4508,,67,12480,,
"Westwood College-Atlanta Midtown",750,"Georgia","Private for-profit- 4-year or above","City: Large",581,53,29,14923,,
"DeVry University-Minnesota",750,"Minnesota","Private for-profit- 4-year or above","Suburb: Large",466,77,50,15188,,
"University of Phoenix-Cheyenne Campus",750,"Wyoming","Private for-profit- 4-year or above","City: Small",36,,0,9859,,
"University of Phoenix-San Antonio Campus",2500,"Texas","Private for-profit- 4-year or above","City: Large",1214,,20,11107,,
"University of Phoenix-Northwest Arkansas Campus",750,"Arkansas","Private for-profit- 4-year or above","City: Small",704,,8,9859,,
"University of Phoenix-Fairfield County Campus",750,"Connecticut","Private for-profit- 4-year or above","City: Small",45,,,9859,,
"DeVry University-Michigan",750,"Michigan","Private for-profit- 4-year or above","City: Small",212,62,,15188,,
"Yeshiva Toras Chaim",750,"New Jersey","Private not-for-profit- 4-year or above","Suburb: Large",179,100,3,11800,21200,21200
"Talmudical Seminary of Bobov",750,"New York","Private not-for-profit- 4-year or above","City: Large",228,100,21,6200,,
"Strayer University-Kentucky",750,"Kentucky","Private for-profit- 4-year or above","City: Large",895,,,14805,,
"DeVry University-Kentucky",750,"Kentucky","Private for-profit- 4-year or above","Suburb: Large",122,85,,15188,,
"Denver School of Nursing",750,"Colorado","Private for-profit- 4-year or above","City: Large",638,70,,14831,,
"Globe University-Minneapolis",750,"Minnesota","Private for-profit- 4-year or above","City: Large",243,,,15660,,
"Strayer University-Mississippi",750,"Mississippi","Private for-profit- 4-year or above","City: Midsize",313,,,14805,,
"Strayer University-Global Region",2500,"District of Columbia","Private for-profit- 4-year or above","City: Large",3807,,5,14805,,
"University of Phoenix-Jackson Campus",750,"Mississippi","Private for-profit- 4-year or above","Suburb: Large",56,,,9859,,
"Chamberlain College of Nursing-Texas",750,"Texas","Private for-profit- 4-year or above","City: Large",113,,,16100,,
"University of Phoenix-Shreveport-Bossier",750,"Louisiana","Private for-profit- 4-year or above","City: Small",342,,,9859,,
"Rio Grande Bible Institute",750,"Texas","Private not-for-profit- 4-year or above","City: Small",126,51,67,1794,6194,6194
"Brown College-Brooklyn Center",750,"Minnesota","Private for-profit- 4-year or above","Suburb: Large",217,,31,17100,,
"Troy University",35000,"Alabama","Public- 4-year or above","Rural: Fringe",26172,71,32,6412,16862,22502
"University of Alaska Fairbanks",8000,"Alaska","Public- 4-year or above","Suburb: Small",9712,,26,5568,16488,28128
"Arkansas Tech University",15000,"Arkansas","Public- 4-year or above","Town: Remote",10464,90,43,5070,14584,18904
"Central Baptist College",750,"Arkansas","Private not-for-profit- 4-year or above","Town: Distant",858,74,36,11610,21140,21140
"Henderson State University",2500,"Arkansas","Public- 4-year or above","Town: Distant",3774,59,31,7010,17712,23322
"California State University-Bakersfield",8000,"California","Public- 4-year or above","City: Large",8002,66,41,6682,20383,31543
"California State University-Long Beach",35000,"California","Public- 4-year or above","City: Large",34870,34,54,6240,23008,34168
"California Christian College",750,"California","Private not-for-profit- 4-year or above","City: Large",31,92,33,7610,16573,16573
"Pacific Union College",2500,"California","Private not-for-profit- 4-year or above","Rural: Fringe",1530,47,49,25965,37992,37992
"Patten University",750,"California","Private not-for-profit- 4-year or above","City: Large",963,,19,13440,24718,24718
"San Francisco State University",35000,"California","Public- 4-year or above","City: Large",29541,61,46,6276,23700,34860
"Westwood College-Los Angeles",2500,"California","Private for-profit- 4-year or above","City: Large",3331,47,16,15121,,
"Regis University",15000,"Colorado","Private not-for-profit- 4-year or above","City: Large",11253,76,62,31188,45283,45283
"Central Connecticut State University",15000,"Connecticut","Public- 4-year or above","Suburb: Large",12521,63,47,8055,21851,32475
"Eastern Connecticut State University",8000,"Connecticut","Public- 4-year or above","Town: Distant",5586,70,49,8555,22493,33117
"Saint Joseph College",2500,"Connecticut","Private not-for-profit- 4-year or above","City: Small",2592,78,56,30310,44630,44630
"University of the District of Columbia",2500,"District of Columbia","Public- 4-year or above","City: Large",4921,,17,7000,,
"Clearwater Christian College",750,"Florida","Private not-for-profit- 4-year or above","City: Midsize",519,75,54,16315,28485,28485
"Florida Atlantic University",35000,"Florida","Public- 4-year or above","City: Small",29246,35,43,4264,19814,31322
"Florida Hospital College of Health Sciences",2500,"Florida","Private not-for-profit- 4-year or above","City: Midsize",2668,96,28,10030,22524,22524
"AI Miami International University of Art and Design",2500,"Florida","Private for-profit- 4-year or above","City: Large",4068,38,37,17704,33319,33319
"Jones College-Jacksonville",750,"Florida","Private not-for-profit- 4-year or above","City: Large",644,,33,7410,,
"Saint Thomas University",2500,"Florida","Private not-for-profit- 4-year or above","Suburb: Large",2472,63,39,23910,37853,37853
"Brenau University",2500,"Georgia","Private not-for-profit- 4-year or above","City: Small",2789,34,44,21124,34940,34940
"Mercer University",8000,"Georgia","Private not-for-profit- 4-year or above","City: Small",8329,83,60,31548,45807,45807
"Morehouse College",2500,"Georgia","Private not-for-profit- 4-year or above","City: Large",2438,62,55,23792,43601,43601
"Oglethorpe University",2500,"Georgia","Private not-for-profit- 4-year or above","Suburb: Large",1144,45,48,29150,43440,43440
"Savannah College of Art and Design",15000,"Georgia","Private not-for-profit- 4-year or above","City: Midsize",10826,49,64,31010,47465,47465
"Shorter University",2500,"Georgia","Private not-for-profit- 4-year or above","City: Small",1696,65,47,17870,30540,30540
"Southern Polytechnic State University",8000,"Georgia","Public- 4-year or above","City: Small",5784,74,32,5500,16992,27488
"Truett-McConnell College",750,"Georgia","Private not-for-profit- 4-year or above","Rural: Distant",921,83,28,15010,26090,26090
"Chicago State University",8000,"Illinois","Public- 4-year or above","City: Large",6882,43,21,9062,23584,30184
"Illinois College",750,"Illinois","Private not-for-profit- 4-year or above","Town: Distant",956,65,57,24550,35120,35120
"Lake Forest College",2500,"Illinois","Private not-for-profit- 4-year or above","Suburb: Large",1516,54,68,36920,48000,48000
