"Name","Size","State","Sector","Urbanization","Total Enrollment","Percent Admitted (Total)","Graduation Rate","Tuition","Total Price (In-State)","Total Price (Out-of-State)"
"College of St Joseph",750,"Vermont","Private not-for-profit- 4-year or above","Town: Remote",377,69,56,19465,32865,32865
"University of Vermont",15000,"Vermont","Public- 4-year or above","City: Small",13478,75,72,14784,27558,47198
"Averett University",750,"Virginia","Private not-for-profit- 4-year or above","City: Small",901,54,41,24480,35100,35100
"Bluefield College",750,"Virginia","Private not-for-profit- 4-year or above","Town: Remote",763,49,36,19980,31870,31870
"Christopher Newport University",2500,"Virginia","Public- 4-year or above","City: Midsize",4990,59,63,10084,24157,33379
"Hampden-Sydney College",2500,"Virginia","Private not-for-profit- 4-year or above","Rural: Distant",1057,55,67,33874,46756,46756
"Hampton University",8000,"Virginia","Private not-for-profit- 4-year or above","City: Midsize",5221,37,55,18798,31068,31068
"Hollins University",750,"Virginia","Private not-for-profit- 4-year or above","Suburb: Midsize",953,83,63,30795,44665,44665
"Liberty University",35000,"Virginia","Private not-for-profit- 4-year or above","City: Small",64096,,48,19154,30634,30634
"Norfolk State University",8000,"Virginia","Public- 4-year or above","City: Midsize",7091,65,34,6700,19678,33321
"Radford University",8000,"Virginia","Public- 4-year or above","Town: Distant",9370,80,56,8320,19909,31067
"Randolph-Macon College",2500,"Virginia","Private not-for-profit- 4-year or above","Suburb: Large",1257,56,62,32265,44698,44698
"Randolph College",750,"Virginia","Private not-for-profit- 4-year or above","City: Small",576,71,63,30376,42762,42762
"Roanoke College",2500,"Virginia","Private not-for-profit- 4-year or above","Suburb: Midsize",2057,70,69,32900,46922,46922
"Shenandoah University",2500,"Virginia","Private not-for-profit- 4-year or above","City: Small",4052,81,45,27940,40990,40990
"Strayer University-Virginia",15000,"Virginia","Private for-profit- 4-year or above","City: Midsize",11202,,19,14805,,
"Sweet Briar College",750,"Virginia","Private not-for-profit- 4-year or above","Suburb: Small",760,82,70,31095,45035,45035
"Virginia Commonwealth University",35000,"Virginia","Public- 4-year or above","City: Midsize",31627,71,53,9517,24635,38067
"University of Virginia-Main Campus",35000,"Virginia","Public- 4-year or above","City: Small",24297,33,94,11786,23986,48980
"Virginia Military Institute",2500,"Virginia","Public- 4-year or above","Rural: Distant",1605,46,69,13184,23305,41745
"Virginia University of Lynchburg",750,"Virginia","Private not-for-profit- 4-year or above","City: Small",597,,100,6080,20857,20857
"Virginia Wesleyan College",2500,"Virginia","Private not-for-profit- 4-year or above","City: Large",1404,86,48,29680,40868,40868
"City University of Seattle",2500,"Washington","Private not-for-profit- 4-year or above","City: Midsize",2302,,13,15280,,
"Cornish College of the Arts",750,"Washington","Private not-for-profit- 4-year or above","City: Large",833,57,45,30880,44680,44680
"The Evergreen State College",2500,"Washington","Public- 4-year or above","Suburb: Midsize",4794,96,54,7486,20512,31693
"Gonzaga University",8000,"Washington","Private not-for-profit- 4-year or above","City: Midsize",7764,65,83,32222,44849,44849
"Heritage University",2500,"Washington","Private not-for-profit- 4-year or above","Rural: Fringe",1215,,15,15550,,
"Saint Martin's University",2500,"Washington","Private not-for-profit- 4-year or above","Suburb: Midsize",1800,75,48,27897,40857,40857
"Seattle University",8000,"Washington","Private not-for-profit- 4-year or above","City: Large",7755,71,71,32700,47853,47853
"Walla Walla University",2500,"Washington","Private not-for-profit- 4-year or above","Town: Remote",1831,89,53,23898,33786,33786
"Washington State University",35000,"Washington","Public- 4-year or above","Town: Distant",27329,84,67,10799,24939,36217
"University of Washington-Seattle Campus",35000,"Washington","Public- 4-year or above","City: Large",42444,58,80,10574,24059,41543
"Western Washington University",15000,"Washington","Public- 4-year or above","City: Small",14842,78,73,7756,20789,31136
"Appalachian Bible College",750,"West Virginia","Private not-for-profit- 4-year or above","Town: Distant",274,66,42,11782,21853,21853
"Mountain State University",2500,"West Virginia","Private not-for-profit- 4-year or above","Town: Distant",4743,,12,7680,17330,17330
"Glenville State College",2500,"West Virginia","Public- 4-year or above","Rural: Remote",1857,82,34,5352,20066,27434
"Marshall University",15000,"West Virginia","Public- 4-year or above","City: Small",13966,81,45,5648,17689,25521
"Ohio Valley University",750,"West Virginia","Private not-for-profit- 4-year or above","City: Small",527,46,40,18050,27496,27496
"Salem International University",750,"West Virginia","Private for-profit- 4-year or above","Rural: Distant",811,,14,16350,27070,27070
"Shepherd University",2500,"West Virginia","Public- 4-year or above","Town: Fringe",4393,88,46,5554,16984,25848
"West Liberty University",2500,"West Virginia","Public- 4-year or above","Rural: Fringe",2789,75,47,5266,17746,25620
"West Virginia Wesleyan College",2500,"West Virginia","Private not-for-profit- 4-year or above","Town: Remote",1452,78,55,24964,38354,38354
"West Virginia University",35000,"West Virginia","Public- 4-year or above","City: Small",29617,87,57,5674,16874,29044
"Wheeling Jesuit University",2500,"West Virginia","Private not-for-profit- 4-year or above","City: Small",1428,72,62,25640,37768,37768
"Alverno College",2500,"Wisconsin","Private not-for-profit- 4-year or above","City: Large",2605,82,40,21069,32167,32167
"Bellin College",750,"Wisconsin","Private not-for-profit- 4-year or above","Rural: Fringe",310,38,78,19939,,
"Beloit College",2500,"Wisconsin","Private not-for-profit- 4-year or above","Suburb: Small",1385,71,76,36674,46276,46276
"Cardinal Stritch University",8000,"Wisconsin","Private not-for-profit- 4-year or above","Suburb: Large",5358,48,46,23330,37492,37492
"Carthage College",2500,"Wisconsin","Private not-for-profit- 4-year or above","Suburb: Midsize",3082,69,59,31300,43600,43600
"Concordia University-Wisconsin",8000,"Wisconsin","Private not-for-profit- 4-year or above","Rural: Fringe",7618,66,58,23260,35607,35607
"Lakeland College",2500,"Wisconsin","Private not-for-profit- 4-year or above","Rural: Fringe",3881,82,42,20230,31992,31992
"Lawrence University",2500,"Wisconsin","Private not-for-profit- 4-year or above","City: Small",1487,53,77,38481,48671,48671
"Maranatha Baptist Bible College",2500,"Wisconsin","Private not-for-profit- 4-year or above","Town: Distant",1019,75,53,12260,23370,23370
"Marian University",2500,"Wisconsin","Private not-for-profit- 4-year or above","City: Small",2615,82,52,22440,32494,32494
"Marquette University",15000,"Wisconsin","Private not-for-profit- 4-year or above","City: Large",12002,57,81,31822,44922,44922
"Milwaukee Institute of Art & Design",750,"Wisconsin","Private not-for-profit- 4-year or above","City: Large",727,61,57,28654,41666,41666
"Milwaukee School of Engineering",2500,"Wisconsin","Private not-for-profit- 4-year or above","City: Large",2486,64,57,30990,45424,45424
"Northland International University",750,"Wisconsin","Private not-for-profit- 4-year or above","Rural: Remote",577,54,82,12880,23930,23930
"Northland College",750,"Wisconsin","Private not-for-profit- 4-year or above","Town: Remote",534,73,48,26566,37226,37226
"Saint Norbert College",2500,"Wisconsin","Private not-for-profit- 4-year or above","Suburb: Midsize",2225,80,70,29395,38958,38958
"Viterbo University",2500,"Wisconsin","Private not-for-profit- 4-year or above","City: Small",3092,78,47,21870,32450,32450
"University of Wisconsin-Eau Claire",15000,"Wisconsin","Public- 4-year or above","City: Small",11300,76,65,8019,17332,24905
"University of Wisconsin-Green Bay",8000,"Wisconsin","Public- 4-year or above","City: Midsize",6671,85,55,7282,16487,24060
"University of Wisconsin-Oshkosh",15000,"Wisconsin","Public- 4-year or above","City: Small",13513,84,50,6995,16823,24396
"University of Wisconsin-Parkside",2500,"Wisconsin","Public- 4-year or above","Suburb: Midsize",4829,83,28,6930,17406,24979
"University of Wisconsin-Stout",8000,"Wisconsin","Public- 4-year or above","Town: Distant",9350,89,53,8542,17758,25503
"University of Wisconsin-Platteville",8000,"Wisconsin","Public- 4-year or above","Town: Distant",8262,96,52,7113,16175,23747
"University of Wisconsin-River Falls",8000,"Wisconsin","Public- 4-year or above","Town: Distant",6803,90,51,7277,16422,23995
"University of Wisconsin-Stevens Point",8000,"Wisconsin","Public- 4-year or above","Town: Distant",9484,79,61,7146,16039,23612
"Purdue University-Main Campus",35000,"Indiana","Public- 4-year or above","Suburb: Midsize",40849,68,68,9478,22748,40916
"Widener University-Delaware Campus",2500,"Delaware","Private not-for-profit- 4-year or above","Suburb: Large",1197,,82,12780,,
"St John's College",750,"New Mexico","Private not-for-profit- 4-year or above","Rural: Fringe",447,86,53,43655,55618,55618
"Mid-America Christian University",2500,"Oklahoma","Private not-for-profit- 4-year or above","City: Large",2255,,23,14830,25815,25815
"Yeshiva Gedolah of Greater Detroit",750,"Michigan","Private not-for-profit- 4-year or above","Suburb: Large",78,100,11,5300,13300,13300
"Kaplan University-Davenport Campus",35000,"Iowa","Private for-profit- 4-year or above","City: Small",56606,,32,12272,,
"New College of Florida",750,"Florida","Public- 4-year or above","City: Small",845,56,68,6060,19058,42087
"University of Advancing Technology",2500,"Arizona","Private for-profit- 4-year or above","City: Midsize",1052,78,29,19500,33865,33865
"California State University-San Marcos",15000,"California","Public- 4-year or above","Rural: Fringe",10276,41,49,6596,23174,34334
"Argosy University-Hawaii",750,"Hawaii","Private for-profit- 4-year or above","City: Large",533,,,12979,,
"McNally Smith College of Music",750,"Minnesota","Private for-profit- 4-year or above","City: Large",674,62,47,23520,38910,38910
"Colorado Heights University",750,"Colorado","Private not-for-profit- 4-year or above","City: Large",122,,,4556,12206,17606
"Hodges University",2500,"Florida","Private not-for-profit- 4-year or above","Rural: Fringe",2439,61,26,11780,,
"Argosy University-Atlanta",2500,"Georgia","Private for-profit- 4-year or above","City: Small",2589,,,12612,,
"University of Phoenix-Online Campus",35000,"Arizona","Private for-profit- 4-year or above","City: Large",307871,,17,10025,,
"New England School of Communications",750,"Maine","Private not-for-profit- 4-year or above","City: Small",531,61,38,12744,23264,23264
"Yeshiva Gedolah Imrei Yosef D'spinka",750,"New York","Private not-for-profit- 4-year or above","City: Large",125,,47,7200,,
"Northwest College of Art",750,"Washington","Private for-profit- 4-year or above","Rural: Fringe",84,61,67,19000,,
"Pacific College of Oriental Medicine LLC-San Diego",750,"California","Private for-profit- 4-year or above","City: Large",622,,,11085,,
"University of Phoenix-Utah Campus",2500,"Utah","Private for-profit- 4-year or above","Suburb: Large",2430,,19,10858,,
"Potomac College-Washington",750,"District of Columbia","Private for-profit- 4-year or above","City: Large",267,,20,11680,,
"Rabbi Jacob Joseph School",750,"New Jersey","Private not-for-profit- 4-year or above","Suburb: Large",70,100,5,10900,18200,18200
"College of Biblical Studies-Houston",750,"Texas","Private not-for-profit- 4-year or above","City: Large",493,,57,9396,,
"Watkins College of Art Design & Film",750,"Tennessee","Private not-for-profit- 4-year or above","City: Large",394,78,37,18414,32914,32914
"World Mission University",750,"California","Private not-for-profit- 4-year or above","City: Large",273,64,80,4420,,
"Colorado Technical University-Sioux Falls",750,"South Dakota","Private for-profit- 4-year or above","Rural: Fringe",899,,29,10620,,
"Schiller International University",750,"Florida","Private for-profit- 4-year or above","City: Small",163,,40,18360,,
"University of Phoenix-Bay Area Campus",2500,"California","Private for-profit- 4-year or above","City: Large",2162,,19,11981,,
"University of Phoenix-Southern California Campus",15000,"California","Private for-profit- 4-year or above","City: Midsize",10996,,15,12792,,
"Baker College Center for Graduate Studies",8000,"Michigan","Private not-for-profit- 4-year or above","Suburb: Large",6081,,27,10080,,
"Trine University-Regional/Non-Traditional Campuses",750,"Indiana","Private not-for-profit- 4-year or above","City: Large",561,64,0,9120,,
"Messenger College",750,"Missouri","Private not-for-profit- 4-year or above","City: Small",60,80,20,8390,20006,20006
"Argosy University-Washington D.C.",2500,"Virginia","Private for-profit- 4-year or above","City: Midsize",1142,,,12612,,
"University of Phoenix-Sacramento Valley Campus",2500,"California","Private for-profit- 4-year or above","City: Large",4153,,11,11981,,
"Yeshiva D'monsey Rabbinical College",750,"New York","Private not-for-profit- 4-year or above","Suburb: Large",61,100,7,4750,12310,12310
"Argosy University-Schaumburg",750,"Illinois","Private for-profit- 4-year or above","City: Small",684,,,12612,,
"University of Phoenix-Louisiana Campus",750,"Louisiana","Private for-profit- 4-year or above","City: Midsize",732,,14,9859,,
"University of Phoenix-Metro Detroit Campus",2500,"Michigan","Private for-profit- 4-year or above","City: Small",1987,,12,11981,,
"Argosy University-Tampa",750,"Florida","Private for-profit- 4-year or above","City: Large",631,,,12612,,
"New Hampshire Institute of Art",750,"New Hampshire","Private not-for-profit- 4-year or above","City: Midsize",464,,39,20490,32124,32124
"Yeshiva of the Telshe Alumni",750,"New York","Private not-for-profit- 4-year or above","City: Large",96,100,3,7900,16500,16500
"University of Phoenix-Central Florida Campus",2500,"Florida","Private for-profit- 4-year or above","Suburb: Large",1564,,22,10858,,
"University of Phoenix-Oregon Campus",2500,"Oregon","Private for-profit- 4-year or above","Suburb: Large",1145,,25,10858,,
"The Art Institute of California-Los Angeles",2500,"California","Private for-profit- 4-year or above","City: Small",2175,40,35,18948,32001,32001
"Michigan Jewish Institute",2500,"Michigan","Private not-for-profit- 4-year or above","Suburb: Large",1352,80,83,10700,,
"University of Phoenix-South Florida Campus",2500,"Florida","Private for-profit- 4-year or above","Suburb: Large",2249,,20,10858,,
"University of Phoenix-North Florida Campus",2500,"Florida","Private for-profit- 4-year or above","City: Large",1365,,15,10858,,
"Argosy University-Phoenix",750,"Arizona","Private for-profit- 4-year or above","City: Large",868,,,12612,,
"Argosy University-Orange County",750,"California","Private for-profit- 4-year or above","Suburb: Large",863,,,12612,,
"University of Connecticut-Tri-Campus",2500,"Connecticut","Public- 4-year or above","Suburb: Midsize",2598,55,51,8874,,
"University of Connecticut-Avery Point",750,"Connecticut","Public- 4-year or above","Suburb: Midsize",784,62,48,8874,,
"Westwood College-Anaheim",2500,"California","Private for-profit- 4-year or above","City: Large",1049,59,35,15020,,
"University of Phoenix-West Michigan Campus",750,"Michigan","Private for-profit- 4-year or above","Suburb: Large",781,,7,11107,,
"Stratford University",2500,"Virginia","Private for-profit- 4-year or above","Suburb: Large",1823,,51,15135,,
"American InterContinental University-South Florida",750,"Florida","Private for-profit- 4-year or above","Suburb: Large",722,97,28,15425,,
"University of Phoenix-Philadelphia Campus",750,"Pennsylvania","Private for-profit- 4-year or above","Suburb: Large",851,,11,9859,,
"Argosy University-Seattle",750,"Washington","Private for-profit- 4-year or above","City: Large",515,,,12612,,
"DeVry University-Florida",2500,"Florida","Private for-profit- 4-year or above","Suburb: Large",3693,82,36,15188,,
"University of Phoenix-Cleveland Campus",750,"Ohio","Private for-profit- 4-year or above","Rural: Fringe",600,,16,11981,,
"King's University",750,"California","Private not-for-profit- 4-year or above","City: Large",456,74,22,10080,,
"New Saint Andrews College",750,"Idaho","Private not-for-profit- 4-year or above","Town: Distant",169,77,79,10400,,
"University of Phoenix-Dallas Campus",2500,"Texas","Private for-profit- 4-year or above","City: Large",1413,,7,11107,,
"University of Phoenix-Houston Campus",2500,"Texas","Private for-profit- 4-year or above","City: Large",2690,,17,11107,,
"DeVry University-Virginia",2500,"Virginia","Private for-profit- 4-year or above","City: Midsize",1185,94,28,15188,,
